month,crime_category,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,previous_year_reg,previous_year_det,,
2025-10,H.B.T.Night.,65,19,81,29,734,477,910,527,,
2025-10,Thefts.,795,184,708,164,6854,2210,7438,2395,,
2025-10,M.V.Thefts.,210,73,195,60,1923,1126,2177,1152,,
2025-10,Snatching,16,11,8,6,157,130,83,47,,
2025-10,Hurt,441,405,302,267,3491,3421,3679,3484,,
2025-10,Riots.,47,44,45,32,365,346,265,262,,
2025-10,Rape,111,88,91,73,1030,976,869,853,,
2025-10,Molestation,188,162,181,154,2038,1970,2067,1943,,
2025-10,Other I.P.C.,3356,2649,3830,3108,34013,29443,26469,20765,,
2025-09,Murder,11,11,6,6,98,95,78,77,,
2025-09,Att.to.C.Murder,31,29,16,16,232,229,240,238,,
2025-09,Dacoity,1,1,1,0,9,9,19,19,,
2025-09,Prep.for Dacoity,0,0,0,0,2,2,8,8,,
2025-09,Robbery,27,23,23,22,204,200,398,391,,
2025-09,Robbery Chain Snatching,7,5,6,4,63,59,96,91,,
2025-09,Att.to.C.Robbery,0,0,1,1,8,7,16,15,,
2025-09,Extortion,29,23,26,23,230,211,151,126,,
2025-09,H.B.T.Day,11,5,13,4,127,81,186,102,,
2025-09,H.B.T.Night.,81,29,79,34,669,430,822,475,,
2025-09,Thefts.,708,164,707,172,6058,1930,6849,2190,,
2025-09,M.V.Thefts.,195,60,214,71,1713,986,1938,1038,,
2025-09,Snatching,8,6,8,3,141,117,59,30,,
2025-09,Hurt,302,267,295,253,3054,2983,3282,3106,,
2025-09,Riots.,45,32,28,22,318,299,236,227,,
2025-09,Rape,91,73,91,65,912,860,772,739,,
2025-09,Molestation,181,154,177,143,1848,1785,1840,1738,,
2025-09,Other I.P.C.,3830,3108,3913,3239,30657,26459,23651,18554,,
2025-08,Murder,6,6,6,6,87,84,72,71,,
2025-08,Att.to.C.Murder,16,16,23,23,200,199,226,222,,
2025-08,Dacoity,1,0,2,2,8,7,14,14,,
2025-08,Prep.for Dacoity,0,0,0,0,2,2,7,7,,
2025-08,Robbery,23,22,21,21,177,176,364,358,,
2025-08,Robbery Chain Snatching,6,4,7,5,56,52,85,79,,
2025-08,Att.to.C.Robbery,1,1,0,0,8,7,15,14,,
2025-08,Extortion,26,23,28,25,201,187,143,118,,
2025-08,H.B.T.Day,13,4,16,6,117,70,168,98,,
2025-08,H.B.T.Night.,79,34,85,31,588,380,738,426,,
2025-08,Thefts.,707,172,736,163,5350,1677,6260,1978,,
2025-08,M.V.Thefts.,214,71,214,75,1517,852,1756,929,,
2025-08,Snatching,8,3,14,8,133,108,33,17,,
2025-08,Hurt,295,253,291,266,2754,2680,2919,2778,,
2025-08,Riots.,28,22,44,40,273,264,208,204,,
2025-08,Rape,91,65,104,84,808,748,667,659,,
2025-08,Molestation,177,143,199,183,1669,1606,1570,1489,,
2025-08,Other I.P.C.,3913,3239,4614,3844,26833,23088,21906,17284,,
2025-07,Murder,6,6,6,5,80,77,61,59,,
2025-07,Att.to.C.Murder,23,23,35,34,184,183,194,192,,
2025-07,Dacoity,2,2,2,2,7,7,12,12,,
2025-07,Prep.for Dacoity,0,0,1,1,2,2,6,6,,
2025-07,Robbery,21,21,35,33,155,154,333,326,,
2025-07,Robbery Chain Snatching,7,5,7,7,49,45,81,72,,
2025-07,Att.to.C.Robbery,0,0,2,2,7,6,12,11,,
2025-07,Extortion,28,25,24,21,174,161,126,104,,
2025-07,H.B.T.Day,16,6,12,3,105,62,144,81,,
2025-07,H.B.T.Night.,85,31,88,35,510,316,636,367,,
2025-07,Thefts.,736,163,872,163,4643,1390,5696,1772,,
2025-07,M.V.Thefts.,214,75,221,71,1304,721,1507,789,,
2025-07,Snatching,14,8,23,9,125,101,10,1,,
2025-07,Hurt,291,266,330,286,2463,2395,2588,2465,,
2025-07,Riots.,44,40,26,24,245,241,184,179,,
2025-07,Rape,104,84,99,76,710,663,546,525,,
2025-07,Molestation,199,183,202,176,1493,1446,1305,1226,,
2025-07,Other I.P.C.,4614,3844,4587,3979,22922,19487,18974,15034,,
2025-06,Murder,6,5,16,15,73,70,56,54,,
2025-06,Att.to.C.Murder,35,34,22,21,161,158,178,175,,
2025-06,Dacoity,2,2,1,1,5,5,11,11,,
2025-06,Prep.for Dacoity,1,1,0,0,2,2,6,6,,
2025-06,Robbery,35,33,11,9,134,131,310,304,,
2025-06,Robbery Chain Snatching,7,7,4,2,43,41,78,67,,
2025-06,Att.to.C.Robbery,2,2,0,0,7,6,7,7,,
2025-06,Extortion,24,21,21,14,145,133,119,101,,
2025-06,H.B.T.Day,12,3,17,8,89,53,125,74,,
2025-06,H.B.T.Night.,88,35,70,22,425,266,531,346,,
2025-06,Thefts.,872,163,1141,142,3906,1073,5130,2005,,
2025-06,M.V.Thefts.,221,71,167,39,1090,558,1307,754,,
2025-06,Snatching,23,9,22,8,110,80,0,0,,
2025-06,Hurt,330,286,368,311,2175,2086,2333,2260,,
2025-06,Riots.,26,24,38,33,201,199,161,155,,
2025-06,Rape,99,76,100,63,602,551,476,456,,
2025-06,Molestation,202,176,212,172,1295,1239,1171,1109,,
2025-06,Other I.P.C.,4587,3979,3814,3106,18304,15286,16434,13425,,
2025-05,Murder,16,15,12,12,64,62,48,46,,
2025-05,Att.to.C.Murder,22,21,36,33,126,123,157,154,,
2025-05,Dacoity,1,1,1,1,3,3,11,11,,
2025-05,Prep.for Dacoity,0,0,0,0,1,1,5,5,,
2025-05,Robbery,11,9,14,13,98,93,256,245,,
2025-05,Robbery Chain Snatching,4,2,11,8,36,32,62,52,,
2025-05,Att.to.C.Robbery,0,0,0,0,5,4,6,6,,
2025-05,Extortion,21,14,29,22,121,106,104,79,,
2025-05,H.B.T.Day,17,8,16,7,76,47,109,64,,
2025-05,H.B.T.Night.,70,22,54,24,335,201,422,248,,
2025-05,Thefts.,1141,142,498,114,3032,811,4452,1299,,
2025-05,M.V.Thefts.,167,39,162,43,870,429,1084,557,,
2025-05,Snatching,22,8,13,8,87,60,0,0,,
2025-05,Hurt,368,311,367,291,1851,1745,1940,1827,,
2025-05,Riots.,37,33,38,33,174,167,137,131,,
2025-05,Rape,99,63,106,76,485,426,397,357,,
2025-05,Molestation,211,171,214,179,1095,1025,978,899,,
2025-05,Other I.P.C.,3813,3106,2448,1595,13722,10889,12968,9930,,
2025-04,Murder,12,12,15,14,48,46,37,34,,
2025-04,Att.to.C.Murder,36,33,24,24,104,100,129,125,,
2025-04,Dacoity,1,1,0,0,2,2,10,10,,
2025-04,Prep.for Dacoity,0,0,0,0,1,1,4,4,,
2025-04,Robbery,14,13,28,23,88,84,212,202,,
2025-04,Robbery Chain Snatching,11,8,2,0,32,27,49,41,,
2025-04,Att.to.C.Robbery,0,0,0,0,5,4,3,3,,
2025-04,Extortion,29,22,25,18,100,87,87,67,,
2025-04,H.B.T.Day,16,7,11,4,59,37,97,55,,
2025-04,H.B.T.Night.,54,24,66,25,267,168,328,210,,
2025-04,Thefts.,498,114,465,98,1893,604,3614,1065,,
2025-04,M.V.Thefts.,162,43,177,59,703,348,895,478,,
2025-04,Snatching,13,8,19,8,65,47,0,0,,
2025-04,Hurt,367,291,464,381,1482,1356,1549,1459,,
2025-04,Riots.,38,33,38,31,135,127,106,103,,
2025-04,Rape,106,76,92,72,381,330,316,280,,
2025-04,Molestation,214,179,246,190,883,807,796,723,,
2025-04,Other I.P.C.,2448,1595,2350,1515,9912,7394,10554,8071,,
2025-03,Murder,15,14,10,9,34,31,27,26,,
2025-03,Att.to.C.Murder,24,24,20,19,69,67,87,85,,
2025-03,Dacoity,0,0,0,0,2,2,5,5,,
2025-03,Prep.for Dacoity,0,0,0,0,1,1,4,4,,
2025-03,Robbery,28,23,14,14,74,68,163,155,,
2025-03,Robbery Chain Snatching,2,0,2,2,21,16,35,30,,
2025-03,Att.to.C.Robbery,0,0,1,1,5,4,3,3,,
2025-03,Extortion,25,18,19,11,69,55,66,49,,
2025-03,H.B.T.Day,11,4,16,5,43,24,77,40,,
2025-03,H.B.T.Night.,66,25,60,21,214,125,258,159,,
2025-03,Thefts.,465,98,438,118,1397,442,2793,790,,
2025-03,M.V.Thefts.,177,59,181,55,540,239,655,333,,
2025-03,Snatching,19,8,13,5,52,31,0,0,,
2025-03,Hurt,464,381,322,249,1120,982,1158,1062,,
2025-03,Riots.,38,31,34,28,96,84,84,78,,
2025-03,Rape,92,72,78,57,266,223,225,201,,
2025-03,Molestation,246,190,190,157,669,591,585,515,,
2025-03,Other I.P.C.,2350,1515,2414,1662,7469,5474,8167,6221,,
2025-02,Murder,10,9,9,8,19,17,17,17,,
2025-02,Att.to.C.Murder,20,19,24,21,45,43,54,52,,
2025-02,Dacoity,0,0,1,1,2,2,4,4,,
2025-02,Prep.for Dacoity,0,0,1,1,1,1,3,3,,
2025-02,Robbery,14,14,34,30,46,45,102,94,,
2025-02,Robbery Chain Snatching,2,2,16,9,19,15,24,18,,
2025-02,Att.to.C.Robbery,1,1,4,3,5,4,3,3,,
2025-02,Extortion,19,11,25,15,44,30,44,36,,
2025-02,H.B.T.Day,16,5,19,6,35,17,46,26,,
2025-02,H.B.T.Night.,60,21,86,46,146,78,158,96,,
2025-02,Thefts.,438,118,493,144,932,296,1852,484,,
2025-02,M.V.Thefts.,181,55,182,57,363,140,434,181,,
2025-02,Snatching,13,5,20,7,33,16,0,0,,
2025-02,Hurt,322,249,336,276,657,555,665,589,,
2025-02,Riots.,34,28,24,20,58,50,43,39,,
2025-02,Rape,78,57,80,59,168,135,135,112,,
2025-02,Molestation,190,157,229,182,421,368,353,310,,
