month,crime_category,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,previous_year_reg,previous_year_det,,
2024-04,Other I.P.C.,"2,400","1,611","2,475","1,607","10,554","8,071","7,033","4,250",,
2024-03,Murder,8,8,8,8,27,26,27,26,,
2024-03,Att.to.C.Murder,35,33,26,24,87,85,72,69,,
2024-03,Dacoity,1,1,2,2,5,5,8,6,,
2024-03,Prep.for Dacoity,1,1,1,1,4,4,6,6,,
2024-03,Robbery,62,57,52,46,163,155,166,157,,
2024-03,Robbery Chain Snatching,10,9,14,8,35,30,28,25,,
2024-03,Att.to.C.Robbery,0,0,2,2,3,3,7,7,,
2024-03,Extortion,21,11,27,22,66,49,69,43,,
2024-03,H.B.T.Day,31,10,24,12,77,40,56,29,,
2024-03,H.B.T.Night.,100,45,86,48,258,159,250,151,,
2024-03,Thefts.,940,215,"1,050",210,"2,792",789,"1,466",505,,
2024-03,M.V.Thefts.,0,0,1,1,1,1,5,3,,
2024-03,Snatching,221,85,242,78,655,333,637,296,,
2024-03,Hurt,495,421,327,276,"1,158","1,062","1,155",955,,
2024-03,Riots.,41,36,16,15,84,78,83,64,,
2024-03,Rape,81,65,67,54,225,201,238,202,,
2024-03,Molestation,231,186,168,140,585,515,534,429,,
2024-03,Other I.P.C.,"2,475","1,607","2,720","1,929","8,167","6,221","4,860","2,719",,
2024-02,Murder,8,8,9,8,17,17,20,19,,
2024-02,Att.to.C.Murder,26,24,27,27,54,52,42,39,,
2024-02,Dacoity,2,2,2,2,4,4,5,4,,
2024-02,Prep.for Dacoity,1,1,2,2,3,3,4,4,,
2024-02,Robbery,52,46,50,39,102,94,108,98,,
2024-02,Robbery Chain Snatching,14,8,10,6,24,18,16,14,,
2024-02,Att.to.C.Robbery,2,2,1,1,3,3,4,4,,
2024-02,Extortion,27,22,15,9,44,36,38,25,,
2024-02,H.B.T.Day,24,12,22,11,46,26,38,18,,
2024-02,H.B.T.Night.,86,48,72,37,158,96,187,97,,
2024-02,Thefts.,"1,050",210,801,207,"1,851",483,946,317,,
2024-02,M.V.Thefts.,1,1,0,0,1,1,3,2,,
2024-02,Snatching,242,78,191,51,434,181,431,191,,
2024-02,Hurt,327,276,340,285,665,589,716,560,,
2024-02,Riots.,16,15,28,23,43,39,51,38,,
2024-02,Rape,67,54,60,47,135,112,141,116,,
2024-02,Molestation,168,140,184,152,353,310,346,273,,
2024-02,Other I.P.C.,"2,720","1,929","2,991","2,289","5,702","4,365","3,079","1,627",,
2024-01,Murder,9,8,10,9,9,8,10,10,,
2024-01,Att.to.C.Murder,27,27,16,15,27,27,18,18,,
2024-01,Dacoity,2,2,2,2,2,2,3,3,,
2024-01,Prep.for Dacoity,2,2,0,0,2,2,3,3,,
2024-01,Robbery,50,39,55,47,50,39,58,52,,
2024-01,Robbery Chain Snatching,10,6,4,2,10,6,9,7,,
2024-01,Att.to.C.Robbery,1,1,4,1,1,1,2,2,,
2024-01,Extortion,15,9,29,23,15,9,18,8,,
2024-01,H.B.T.Day,22,11,19,4,22,11,21,8,,
2024-01,H.B.T.Night.,72,37,81,27,72,37,94,45,,
2024-01,Thefts.,801,207,554,182,801,207,519,159,,
2024-01,M.V.Thefts.,0,0,1,0,0,0,3,1,,
2024-01,Snatching,191,51,227,52,191,51,238,83,,
2024-01,Hurt,340,285,390,331,340,285,351,267,,
2024-01,Riots.,28,23,17,15,28,23,27,21,,
2024-01,Rape,60,47,80,61,60,47,78,59,,
2024-01,Molestation,184,152,197,175,184,152,172,125,,
2024-01,Other I.P.C.,"2,991","2,289","3,615","3,029","2,991","2,289","1,560",808,,
2023-12,Murder,10,9,8,8,123,118,133,129,,
2023-12,Att.to.C.Murder,16,15,41,35,292,290,244,239,,
2023-12,Dacoity,2,2,2,2,25,24,20,20,,
2023-12,Prep.for Dacoity,0,0,0,0,23,23,14,14,,
2023-12,Robbery,55,47,45,40,642,628,846,727,,
2023-12,Robbery Chain Snatching,4,2,7,7,116,111,190,158,,
2023-12,Att.to.C.Robbery,4,1,3,3,20,17,26,23,,
2023-12,Extortion,29,23,17,9,258,208,308,205,,
2023-12,H.B.T.Day,19,4,15,10,228,151,245,133,,
2023-12,H.B.T.Night.,81,27,85,28,"1,073",757,"1,375",837,,
2023-12,Thefts.,554,182,662,173,"6,675","2,835","14,805","3,244",,
2023-12,M.V.Thefts.,1,0,1,1,14,11,13,5,,
2023-12,Snatching,227,52,229,66,"2,671","1,564","3,058","1,588",,
2023-12,Hurt,390,331,428,351,"4,441","4,306","4,633","4,230",,
2023-12,Riots.,17,15,29,26,292,285,289,260,,
2023-12,Rape,80,61,53,42,973,933,984,912,,
2023-12,Molestation,197,175,184,143,"2,163","2,054","2,349","1,957",,
2023-12,Other I.P.C.,"3,615","3,029","2,585","1,929","25,840","20,676","40,835","33,185",,
2023-11,Murder,8,8,12,11,113,109,120,117,,
2023-11,Att.to.C.Murder,41,35,28,26,275,268,227,224,,
2023-11,Dacoity,2,2,0,0,23,22,19,19,,
2023-11,Prep.for Dacoity,0,0,1,1,23,23,14,14,,
2023-11,Robbery,45,40,57,53,586,574,801,682,,
2023-11,Robbery Chain Snatching,7,7,18,13,112,108,181,144,,
2023-11,Att.to.C.Robbery,3,3,0,0,16,16,24,19,,
2023-11,Extortion,17,9,17,13,229,177,288,187,,
2023-11,H.B.T.Day,15,10,20,4,207,133,228,115,,
2023-11,H.B.T.Night.,85,28,92,45,992,683,"1,295",780,,
2023-11,Thefts.,662,173,691,193,"6,120","2,471","14,203","2,943",,
2023-11,M.V.Thefts.,1,1,0,0,13,11,12,5,,
2023-11,Snatching,229,66,264,77,"2,445","1,384","2,802","1,430",,
2023-11,Hurt,428,351,437,364,"4,052","3,884","4,244","3,826",,
2023-11,Riots.,29,26,36,30,271,260,267,238,,
2023-11,Rape,53,42,83,62,878,847,885,804,,
2023-11,Molestation,184,143,213,179,"1,968","1,835","2,146","1,734",,
2023-11,Other I.P.C.,"2,585","1,929","2,523","1,772","22,246","16,920","39,024","31,762",,
2023-10,Murder,12,11,5,3,105,100,113,110,,
2023-10,Att.to.C.Murder,28,26,28,27,234,230,212,208,,
2023-10,Dacoity,0,0,2,2,21,19,16,16,,
2023-10,Prep.for Dacoity,1,1,4,4,23,23,14,14,,
2023-10,Robbery,57,53,61,57,542,532,746,625,,
2023-10,Robbery Chain Snatching,18,13,9,8,105,96,172,136,,
2023-10,Att.to.C.Robbery,0,0,0,0,13,13,23,18,,
2023-10,Extortion,17,13,21,11,211,162,271,174,,
2023-10,H.B.T.Day,20,4,20,7,193,115,209,105,,
2023-10,H.B.T.Night.,92,45,94,33,905,623,"1,201",711,,
2023-10,Thefts.,691,193,806,207,"5,461","2,209","13,672","2,696",,
2023-10,M.V.Thefts.,0,0,2,2,12,10,9,4,,
2023-10,Snatching,264,77,200,43,"2,215","1,247","2,598","1,293",,
2023-10,Hurt,437,364,318,262,"3,624","3,472","3,943","3,533",,
2023-10,Riots.,36,30,26,21,241,225,241,211,,
2023-10,Rape,83,62,60,43,814,771,807,729,,
2023-10,Molestation,213,179,163,131,"1,783","1,661","1,957","1,563",,
2023-10,Other I.P.C.,"2,523","1,772","2,338","1,714","19,668","14,635","37,515","30,685",,
2023-09,Murder,5,3,9,9,91,86,101,99,,
2023-09,Att.to.C.Murder,28,27,29,29,208,205,190,181,,
2023-09,Dacoity,2,2,3,2,21,19,14,14,,
2023-09,Prep.for Dacoity,4,4,5,5,22,22,13,13,,
2023-09,Robbery,61,57,63,58,484,474,695,575,,
2023-09,Robbery Chain Snatching,9,8,7,6,87,83,159,121,,
2023-09,Att.to.C.Robbery,0,0,2,2,13,13,21,16,,
2023-09,Extortion,21,11,24,19,195,143,253,161,,
2023-09,H.B.T.Day,20,7,21,11,173,107,192,97,,
2023-09,H.B.T.Night.,94,33,92,49,813,550,"1,098",644,,
2023-09,Thefts.,806,207,603,183,"4,770","1,919","12,996","2,462",,
2023-09,M.V.Thefts.,2,2,1,1,12,10,9,4,,
2023-09,Snatching,200,43,252,70,"1,951","1,083","2,373","1,172",,
2023-09,Hurt,318,262,324,268,"3,187","3,053","3,490","3,110",,
2023-09,Riots.,26,21,19,15,203,191,225,196,,
2023-09,Rape,60,43,78,64,723,682,728,655,,
2023-09,Molestation,163,131,163,130,"1,572","1,455","1,767","1,395",,
2023-09,Other I.P.C.,"2,338","1,714","2,362","1,645","17,151","12,550","36,189","29,868",,
2023-08,Murder,,,,,,,,,,
2023-08,Att.to.C.Murder,,,,,,,,,,
2023-08,Dacoity,,,,,,,,,,
2023-08,Prep.for Dacoity,,,,,,,,,,
2023-08,Robbery,,,,,,,,,,
2023-08,Robbery Chain Snatching,,,,,,,,,,
2023-08,Att.to.C.Robbery,,,,,,,,,,
2023-08,Extortion,,,,,,,,,,
2023-08,H.B.T.Day,,,,,,,,,,
2023-08,H.B.T.Night.,,,,,,,,,,
2023-08,Thefts.,,,,,,,,,,
2023-08,M.V.Thefts.,,,,,,,,,,
2023-08,Snatching,,,,,,,,,,
2023-08,Hurt,,,,,,,,,,
2023-08,Riots.,,,,,,,,,,
2023-08,Rape,,,,,,,,,,
2023-08,Molestation,,,,,,,,,,
2023-08,Other I.P.C.,,,,,,,,,,
2023-07,Murder,5,3,16,16,76,73,85,81,,
2023-07,Att.to.C.Murder,15,15,19,18,150,148,152,147,,
2023-07,Dacoity,1,1,2,2,15,15,7,7,,
2023-07,Prep.for Dacoity,0,0,3,3,13,13,11,11,,
2023-07,Robbery,55,47,45,36,361,346,582,470,,
2023-07,Robbery Chain Snatching,7,7,14,9,71,65,131,97,,
2023-07,Att.to.C.Robbery,1,1,0,0,11,11,18,13,,
2023-07,Extortion,23,14,18,12,150,106,204,127,,
2023-07,H.B.T.Day,27,13,17,7,134,80,149,77,,
2023-07,H.B.T.Night.,107,48,72,28,625,409,840,492,,
2023-07,Thefts.,484,164,454,144,"3,359","1,377","11,427","1,804",,
2023-07,M.V.Thefts.,4,4,0,0,9,7,8,2,,
2023-07,Snatching,215,58,240,57,"1,501",789,"1,898",897,,
2023-07,Hurt,266,224,351,272,"2,546","2,408","2,788","2,479",,
2023-07,Riots.,19,13,20,17,158,135,192,161,,
2023-07,Rape,72,60,64,52,565,528,580,514,,
2023-07,Molestation,165,135,183,134,"1,246","1,116","1,429","1,083",,
2023-07,Other I.P.C.,"2,164","1,498","1,526",887,"12,470","8,529","33,600","28,287",,
2023-06,Murder,16,16,14,14,70,69,69,67,,
2023-06,Att.to.C.Murder,19,18,23,22,135,133,135,130,,
2023-06,Dacoity,2,2,0,0,14,12,6,6,,
2023-06,Prep.for Dacoity,3,3,1,1,13,13,11,11,,
2023-06,Robbery,45,36,50,41,305,290,516,401,,
2023-06,Robbery Chain Snatching,14,9,9,5,64,56,109,78,,
2023-06,Att.to.C.Robbery,0,0,1,1,10,10,13,11,,
2023-06,Extortion,18,12,23,12,129,87,170,109,,
2023-06,H.B.T.Day,17,7,19,10,107,61,129,57,,
2023-06,H.B.T.Night.,72,28,106,41,516,315,714,392,,
2023-06,Thefts.,454,144,465,143,"2,878","1,121","10,265","1,414",,
2023-06,M.V.Thefts.,0,0,1,0,5,3,7,2,,
2023-06,Snatching,240,57,225,63,"1,287",643,"1,624",742,,
2023-06,Hurt,351,272,369,282,"2,280","2,074","2,489","2,117",,
2023-06,Riots.,20,17,12,6,139,112,176,144,,
2023-06,Rape,64,52,77,53,485,431,494,417,,
2023-06,Molestation,183,134,184,129,"1,081",926,"1,310",967,,
2023-06,Other I.P.C.,"1,526",887,"1,778","1,052","10,313","6,684","30,632","25,970",,
2023-05,Murder,14,14,10,9,52,51,51,49,,
2023-05,Att.to.C.Murder,23,22,21,21,117,115,110,102,,
2023-05,Dacoity,0,0,2,2,12,10,5,5,,
2023-05,Prep.for Dacoity,1,1,3,3,10,10,10,10,,
2023-05,Robbery,50,41,46,41,259,247,443,329,,
2023-05,Robbery Chain Snatching,9,5,12,8,50,42,97,60,,
2023-05,Att.to.C.Robbery,1,1,2,2,10,10,12,8,,
2023-05,Extortion,23,12,17,7,110,68,125,85,,
2023-05,H.B.T.Day,19,10,16,9,92,51,114,44,,
2023-05,H.B.T.Night.,106,41,87,33,442,253,595,309,,
2023-05,Thefts.,465,143,493,139,"2,425",915,"7,896","1,042",,
2023-05,M.V.Thefts.,1,0,0,0,6,3,5,1,,
2023-05,Snatching,225,63,183,53,"1,045",526,"1,315",534,,
2023-05,Hurt,369,282,410,313,"1,931","1,722","2,098","1,755",,
2023-05,Riots.,12,6,25,17,118,92,149,118,,
2023-05,Rape,77,53,78,61,408,357,405,341,,
2023-05,Molestation,184,129,178,121,897,755,"1,106",800,,
2023-05,Other I.P.C.,"1,778","1,052","2,179","1,359","8,802","5,567","24,045","20,197",,
2023-04,Murder,10,9,7,6,37,35,41,39,,
2023-04,Att.to.C.Murder,21,21,30,29,95,94,80,74,,
2023-04,Dacoity,2,2,3,2,12,10,5,5,,
2023-04,Prep.for Dacoity,3,3,2,2,9,9,9,9,,
2023-04,Robbery,46,41,57,52,210,199,356,254,,
2023-04,Robbery Chain Snatching,12,8,12,9,40,33,75,48,,
2023-04,Att.to.C.Robbery,2,2,3,3,9,9,10,6,,
2023-04,Extortion,17,7,30,13,86,54,95,61,,
2023-04,H.B.T.Day,16,9,19,7,72,39,87,35,,
2023-04,H.B.T.Night.,87,33,62,28,336,190,466,236,,
2023-04,Thefts.,493,139,520,139,"1,961",707,"4,957",717,,
2023-04,M.V.Thefts.,0,0,2,1,5,3,5,1,,
2023-04,Snatching,183,53,205,56,820,410,"1,007",382,,
2023-04,Hurt,410,313,439,324,"1,561","1,334","1,599","1,300",,
2023-04,Riots.,25,17,32,22,107,83,121,95,,
2023-04,Rape,78,61,90,72,325,285,304,247,,
2023-04,Molestation,178,121,189,131,713,572,839,603,,
2023-04,Other I.P.C.,"2,179","1,359","1,800",921,"7,033","4,250","16,984","13,985",,
2023-03,Murder,7,6,10,9,27,26,29,29,,
2023-03,Att.to.C.Murder,30,29,24,21,72,69,52,50,,
2023-03,Dacoity,3,2,1,0,8,6,5,5,,
2023-03,Prep.for Dacoity,2,2,1,1,6,6,7,7,,
2023-03,Robbery,57,52,51,44,166,157,211,164,,
2023-03,Robbery Chain Snatching,12,9,7,6,28,25,59,31,,
2023-03,Att.to.C.Robbery,3,3,2,2,7,7,6,4,,
2023-03,Extortion,30,13,21,11,69,43,58,38,,
2023-03,H.B.T.Day,19,7,17,6,56,29,62,26,,
2023-03,H.B.T.Night.,62,28,93,36,250,151,333,167,,
2023-03,Thefts.,520,139,427,123,"1,466",505,"1,533",458,,
2023-03,M.V.Thefts.,2,1,0,0,5,3,3,1,,
2023-03,Snatching,205,56,193,71,637,296,721,254,,
2023-03,Hurt,439,324,365,251,"1,155",955,"1,114",912,,
2023-03,Riots.,32,22,24,15,83,64,75,57,,
2023-03,Rape,90,72,60,43,238,202,205,168,,
2023-03,Molestation,189,131,175,131,534,429,561,407,,
2023-03,Other I.P.C.,"1,800",921,"1,522",724,"4,860","2,719","8,570","6,667",,
2023-04,Murder,10,9,10,10,20,19,21,19,,
2023-02,Att.to.C.Murder,24,21,18,18,42,39,31,27,,
2023-02,Dacoity,1,0,3,3,5,4,3,3,,
2023-02,Prep.for Dacoity,1,1,3,3,4,4,7,7,,
2023-02,Robbery,51,44,58,52,108,98,119,94,,
2023-02,Robbery Chain Snatching,7,6,9,7,16,14,30,17,,
2023-02,Att.to.C.Robbery,2,2,2,2,4,4,2,2,,
2023-02,Extortion,21,11,18,8,38,25,36,25,,
2023-02,H.B.T.Day,17,6,21,8,38,18,35,12,,
2023-02,H.B.T.Night.,93,36,94,45,187,97,207,107,,
2023-02,Thefts.,427,123,519,159,946,317,671,274,,
2023-02,M.V.Thefts.,0,0,3,1,3,2,4,1,,
2023-02,Snatching,193,71,238,83,431,191,436,140,,
2023-02,Hurt,365,251,351,267,716,560,608,512,,
2023-02,Riots.,24,15,27,21,51,38,39,25,,
2023-02,Rape,60,43,78,59,141,116,120,99,,
2023-02,Molestation,175,131,172,125,346,273,310,229,,
2023-02,Other I.P.C.,"1,522",724,"1,560",808,"3,079","1,627","2,677","1,561",,
2023-01,Murder,10,10,11,10,10,10,8,7,,
2023-01,Att.to.C.Murder,18,18,17,15,18,18,12,12,,
2023-01,Dacoity,3,3,0,0,3,3,2,2,,
2023-01,Prep.for Dacoity,3,3,0,0,3,3,3,3,,
2023-01,Robbery,58,52,46,38,58,52,64,50,,
2023-01,Robbery Chain Snatching,9,7,8,7,9,7,9,5,,
2023-01,Att.to.C.Robbery,2,2,2,2,2,2,1,1,,
2023-01,Extortion,18,8,22,12,18,8,18,8,,
2023-01,H.B.T.Day,21,8,17,10,21,8,18,4,,
2023-01,H.B.T.Night.,94,45,80,25,94,45,101,37,,
2023-01,Thefts.,519,159,601,142,519,159,328,116,,
2023-01,M.V.Thefts.,3,1,1,0,3,1,0,0,,
2023-01,Snatching,238,83,256,68,238,83,242,73,,
2023-01,Hurt,351,267,395,286,351,267,318,261,,
2023-01,Riots.,27,21,22,12,27,21,17,11,,
2023-01,Rape,78,59,92,72,78,59,62,48,,
2023-01,Molestation,172,125,221,168,172,125,143,97,,
2023-01,Other I.P.C.,"1,560",808,"1,803",980,"1,560",808,"1,279",656,,
2022-12,Murder,11,10,6,6,133,129,162,160,,
2022-12,Att.to.C.Murder,17,15,15,15,244,239,349,340,,
2022-12,Dacoity,0,0,1,1,20,20,16,16,,
2022-12,Prep.for Dacoity,,,,,,,,,,
2022-12,Robbery,46,38,56,46,846,727,712,649,,
2022-12,Robbery Chain Snatching,8,7,9,4,190,158,149,120,,
2022-12,Att.to.C.Robbery,,,,,,,,,,
2022-12,Extortion,22,12,17,8,308,205,280,229,,
2022-12,H.B.T.Day,48.5,17.5,56.5,19,810,485,841.5,467.5,,
2022-12,H.B.T.Night.,48.5,17.5,56.5,19,810,485,841.5,467.5,,
2022-12,Thefts.,602,142,535,114,"14,818","3,249","4,534","1,870",,
2022-12,M.V.Thefts.,256,68,203,57,"3,058","1,588","3,282","1,599",,
2022-12,Snatching,,,,,,,,,,
2022-12,Hurt,395,286,304,207,"4,633","4,230","4,262","3,971",,
2022-12,Riots.,22,12,25,18,289,260,318,285,,
2022-12,Rape,92,72,65,43,984,912,888,793,,
2022-12,Molestation,221,168,190,130,"2,349","1,957","2,076","1,751",,
2022-12,Other I.P.C.,"1,805",982,"1,515",744,"40,875","33,222","45,945","40,475",,
2022-11,Murder,6,6,12,11,120,117,152,150,,
2022-11,Att.to.C.Murder,15,15,22,21,227,224,332,321,,
2022-11,Dacoity,1,1,2,2,19,19,13,13,,
2022-11,Prep.for Dacoity,,,,,,,,,,
2022-11,Robbery,57,47,54,45,825,701,689,633,,
2022-11,Robbery Chain Snatching,9,4,13,9,181,144,141,108,,
2022-11,Att.to.C.Robbery,,,,,,,,,,
2022-11,Extortion,17,8,15,7,288,187,252,203,,
2022-11,H.B.T.Day,56.5,19,59,16.5,761.5,447.6,781.5,425,,
2022-11,H.B.T.Night.,56.5,19,59,16.5,761.5,447.6,781.5,425,,
2022-11,Thefts.,535,114,678,145,"14,215","2,948","4,098","1,642",,
2022-11,M.V.Thefts.,203,57,225,38,"2,802","1,430","3,012","1,424",,
2022-11,Snatching,,,,,,,,,,
2022-11,Hurt,304,207,454,338,"4,244","3,826","3,979","3,691",,
2022-11,Riots.,25,18,17,11,267,238,299,260,,
2022-11,Rape,65,43,70,53,885,804,828,737,,
2022-11,Molestation,190,130,187,119,"2,146","1,734","1,916","1,606",,
2022-11,Other I.P.C.,"1,514",743,"1,339",559,"39,038","31,776","44,220","39,107",,
2022-10,Murder,12,11,5,5,113,110,140,138,,
2022-10,Att.to.C.Murder,22,21,25,22,212,208,307,300,,
2022-10,Dacoity,2,2,4,4,16,16,12,12,,
2022-10,Prep.for Dacoity,,,,,,,,,,
2022-10,Robbery,54,45,64,54,769,643,632,580,,
2022-10,Robbery Chain Snatching,13,9,16,4,172,136,123,95,,
2022-10,Att.to.C.Robbery,,,,,,,,,,
2022-10,Extortion,15,7,22,13,271,174,232,183,,
2022-10,H.B.T.Day,59,16.5,121.5,20.5,705,406,712.5,355.5,,
2022-10,H.B.T.Night.,59,16.5,121.5,20.5,705,406,712.5,355.5,,
2022-10,Thefts.,678,145,709,143,"13,681","2,700","3,716","1,450",,
2022-10,M.V.Thefts.,225,38,235,60,"2,598","1,293","2,773","1,280",,
2022-10,Snatching,,,,,,,,,,
2022-10,Hurt,454,338,355,226,"3,943","3,533","3,557","3,289",,
2022-10,Riots.,17,11,18,13,241,211,269,229,,
2022-10,Rape,70,53,67,49,807,729,762,668,,
2022-10,Molestation,187,119,188,122,"1,957","1,563","1,746","1,424",,
2022-10,Other I.P.C.,"1,339",559,"1,286",546,"37,529","30,699","43,013","38,276",,
2022-09,Murder,5,5,10,10,101,99,118,114,,
2022-09,Att.to.C.Murder,25,22,14,10,190,181,286,277,,
2022-09,Dacoity,4,4,1,1,14,14,12,12,,
2022-09,Prep.for Dacoity,,,,,,,,,,
2022-09,Robbery,64,54,52,38,716,591,557,509,,
2022-09,Robbery Chain Snatching,16,4,12,5,159,121,108,77,,
2022-09,Att.to.C.Robbery,,,,,,,,,,
2022-09,Extortion,22,13,27,12,253,161,212,167,,
2022-09,H.B.T.Day,143,41,159,59,"1,290",741,"1,273",665,,
2022-09,H.B.T.Night.,,,,,,,,,,
2022-09,Thefts.,709,143,860,204,"13,005","2,466","3,286","1,245",,
2022-09,M.V.Thefts.,235,60,238,67,"2,373","1,172","2,462","1,082",,
2022-09,Snatching,,,,,,,,,,
2022-09,Hurt,355,226,355,259,"3,490","3,110","3,157","2,893",,
2022-09,Riots.,18,13,12,6,225,196,243,204,,
2022-09,Rape,67,49,58,42,728,655,695,593,,
2022-09,Molestation,191,122,143,94,"1,767","1,395","1,488","1,197",,
2022-09,Other I.P.C.,"1,283",546,"1,335",574,"36,202","29,881","41,700","37,308",,
2022-08,Murder,10,10,16,13,95,92,109,106,,
2022-08,Att.to.C.Murder,14,10,17,14,165,157,260,251,,
2022-08,Dacoity,1,1,0,0,10,10,12,8,,
2022-08,Prep.for Dacoity,,,,,,,,,,
2022-08,Robbery,52,38,69,49,651,529,472,432,,
2022-08,Robbery Chain Snatching,12,5,22,13,143,107,94,61,,
2022-08,Att.to.C.Robbery,,,,,,,,,,
2022-08,Extortion,27,12,34,14,232,145,198,154,,
2022-08,H.B.T.Day,79.5,29.5,73,29,572.5,330,557.5,271,,
2022-08,H.B.T.Night.,79.5,29.5,73,29,572.5,330,557.5,271,,
2022-08,Thefts.,860,204,"1,164",198,"12,294","2,185","2,821","1,056",,
2022-08,M.V.Thefts.,238,67,275,62,"2,138","1,040","2,178",931,,
2022-08,Snatching,,,,,,,,,,
2022-08,Hurt,355,259,300,230,"3,142","2,809","2,836","2,577",,
2022-08,Riots.,12,6,15,9,203,172,217,180,,
2022-08,Rape,58,42,73,58,653,586,614,509,,
2022-08,Molestation,143,94,120,69,"1,570","1,221","1,252",995,,
2022-08,Other I.P.C.,"1,335",574,"2,984","1,994","34,933","29,145","40,163","36,195",,
2022-07,Murder,16,13,17,16,85,81,103,100,,
2022-07,Att.to.C.Murder,17,14,26,24,152,147,237,229,,
2022-07,Dacoity,0,0,1,1,7,7,12,8,,
2022-07,Prep.for Dacoity,,,,,,,,,,
2022-07,Robbery,69,49,75,51,600,483,411,373,,
2022-07,Robbery Chain Snatching,22,13,12,7,131,97,82,54,,
2022-07,Att.to.C.Robbery,,,,,,,,,,
2022-07,Extortion,34,14,45,18,204,127,179,136,,
2022-07,H.B.T.Day,146,58,134,56,989,569,957,460,,
2022-07,H.B.T.Night.,,,,,,,,,,
2022-07,Thefts.,"1,164",198,"2,368",204,"11,435","1,806","2,419",912,,
2022-07,M.V.Thefts.,275,62,309,102,"1,898",897,"1,898",791,,
2022-07,Snatching,,,,,,,,,,
2022-07,Hurt,300,230,396,276,"2,788","2,479","2,518","2,294",,
2022-07,Riots.,15,9,26,21,192,161,181,155,,
2022-07,Rape,73,58,73,48,580,514,550,445,,
2022-07,Molestation,120,69,196,110,"1,429","1,083","1,100",860,,
2022-07,Other I.P.C.,"2,984","1,994","6,614","5,566","33,611","28,298","38,390","34,915",,
2022-06,Murder,17,16,10,10,69,67,93,89,,
2022-06,Att.to.C.Murder,26,24,30,25,135,130,204,199,,
2022-06,Dacoity,1,1,0,0,6,6,9,6,,
2022-06,Prep.for Dacoity,,,,,,,,,,
2022-06,Robbery,75,51,89,55,529,412,345,304,,
2022-06,Robbery Chain Snatching,12,7,22,9,109,78,63,37,,
2022-06,Att.to.C.Robbery,,,,,,,,,,
2022-06,Extortion,45,18,29,19,170,109,143,114,,
2022-06,H.B.T.Day,67,28,78.5,24,421.5,224.5,392,180.5,,
2022-06,H.B.T.Night.,67,28,78.5,24,421.5,224.5,392,180.5,,
2022-06,Thefts.,"2,368",204,"2,939",189,"10,272","1,416","2,031",768,,
2022-06,M.V.Thefts.,309,102,308,71,"1,624",742,"1,621",645,,
2022-06,Snatching,,,,,,,,,,
2022-06,Hurt,396,276,498,364,"2,489","2,117","2,207","1,990",,
2022-06,Riots.,26,21,26,20,176,144,158,128,,
2022-06,Rape,73,48,95,70,494,417,475,369,,
2022-06,Molestation,196,110,268,156,"1,310",967,940,698,,
2022-06,Other I.P.C.,"6,614","5,566","7,075","6,012","30,643","25,981","34,299","31,290",,
2022-05,Murder,10,10,12,11,51,49,73,69,,
2022-05,Att.to.C.Murder,30,25,28,24,110,102,169,161,,
2022-05,Dacoity,0,0,0,0,5,5,8,6,,
2022-05,Prep.for Dacoity,,,,,,,,,,
2022-05,Robbery,89,55,153,83,455,337,300,265,,
2022-05,Robbery Chain Snatching,22,9,16,7,97,60,48,30,,
2022-05,Att.to.C.Robbery,,,,,,,,91,,
2022-05,Extortion,29,19,35,18,125,85,120,,,
2022-05,H.B.T.Day,78.5,24,80,25.5,354.5,176.5,320.5,147,,
2022-05,H.B.T.Night.,78.5,24,80,25.5,354.5,176.5,320.5,147,,
2022-05,Thefts.,"2,939",189,"3,422",186,"7,901","1,043","1,690",,,
2022-05,M.V.Thefts.,308,71,287,60,"1,315",534,"1,345",509,,
2022-05,Snatching,,,,,,,,"1,627",,
2022-05,Hurt,498,364,485,319,"2,098","1,755","1,874",,,
2022-05,Riots.,26,20,45,32,149,118,138,114,,
2022-05,Rape,95,70,88,52,405,341,395,295,,
2022-05,Molestation,268,156,277,154,"1,106",800,660,492,,
2022-05,Other I.P.C.,"7,075","6,012","8,429","7,182","24,055","20,207","26,824","24,247",,
2022-04,Murder,12,11,8,8,41,39,50,47,,
2022-04,Att.to.C.Murder,28,24,21,20,80,74,128,121,,
2022-04,Dacoity,0,0,1,1,5,5,7,5,,
2022-04,Prep.for Dacoity,,,,,,,,,,
2022-04,Robbery,153,83,95,58,366,260,246,215,,
2022-04,Robbery Chain Snatching,16,7,29,12,75,48,42,26,,
2022-04,Att.to.C.Robbery,,,,,,,,,,
2022-04,Extortion,35,18,22,11,95,61,99,72,,
2022-04,H.B.T.Day,80,25.5,76.5,59.5,276.5,165.5,268.5,118.5,,
2022-04,H.B.T.Night.,80,25.5,76.5,59.5,276.5,165.5,268.5,118.5,,
2022-04,Thefts.,"3,422",186,862,145,"4,962",718,"1,387",495,,
2022-04,M.V.Thefts.,287,60,285,79,"1,007",382,"1,098",405,,
2022-04,Snatching,,,,,,,,,,
2022-04,Hurt,485,319,506,362,"1,599","1,300","1,455","1,263",,
2022-04,Riots.,45,32,36,27,121,95,105,79,,
2022-04,Rape,88,52,79,57,304,247,312,234,,
2022-04,Molestation,277,154,250,152,839,603,660,492,,
